"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Michael Floyd",3300,"StL@Ari 04:25PM ET",1.400,"Ari"
"RB","Chris Polk",3300,"Hou@Atl 01:00PM ET",5.400,"Hou"
"WR","Cole Beasley",3300,"Dal@NO 08:30PM ET",6.650,"Dal"
"WR","Phillip Dorsett",3300,"JAC@Ind 01:00PM ET",4.500,"Ind"
"WR","Louis Murphy",3200,"Car@TB 01:00PM ET",5.600,"TB"
"WR","Brian Hartline",3200,"Cle@SD 04:05PM ET",2.000,"Cle"
"WR","Brian Quick",3200,"StL@Ari 04:25PM ET",0,"StL"
"TE","Coby Fleener",3200,"JAC@Ind 01:00PM ET",1.750,"Ind"
"TE","Ladarius Green",3200,"Cle@SD 04:05PM ET",14.050,"SD"
"TE","Kyle Rudolph",3200,"Min@Den 04:25PM ET",12.150,"Min"
"TE","Zach Ertz",3200,"Phi@Was 01:00PM ET",6.150,"Phi"
"WR","Quincy Enunwa",3200,"NYJ@Mia 09:30AM ET",1.850,"NYJ"
"WR","Brandon Coleman",3200,"Dal@NO 08:30PM ET",10.200,"NO"
"WR","Chris Hogan",3200,"NYG@Buf 01:00PM ET",1.050,"Buf"
"WR","Corey Brown",3200,"Car@TB 01:00PM ET",9.000,"Car"
"WR","Jamison Crowder",3200,"Phi@Was 01:00PM ET",5.133,"Was"
"RB","Josh Robinson",3200,"JAC@Ind 01:00PM ET",5.000,"Ind"
"DST","Jets ",3100,"NYJ@Mia 09:30AM ET",15.500,"NYJ"
"WR","Jerricho Cotchery",3100,"Car@TB 01:00PM ET",8.300,"Car"
"TE","Gary Barnidge",3100,"Cle@SD 04:05PM ET",4.750,"Cle"
"RB","Jonathan Grimes",3100,"Hou@Atl 01:00PM ET",7.350,"Hou"
"TE","Dwayne Allen",3100,"JAC@Ind 01:00PM ET",5.350,"Ind"
"WR","Mohamed Sanu",3100,"KC@Cin 01:00PM ET",3.950,"Cin"
"RB","Andre Williams",3100,"NYG@Buf 01:00PM ET",4.867,"NYG"
"WR","Robert Woods",3100,"NYG@Buf 01:00PM ET",9.850,"Buf"
"RB","Duke Johnson Jr.",3100,"Cle@SD 04:05PM ET",3.250,"Cle"
"WR","Devin Funchess",3100,"Car@TB 01:00PM ET",2.200,"Car"
"DST","Bills ",3000,"NYG@Buf 01:00PM ET",5.500,"Buf"
"DST","Texans ",3000,"Hou@Atl 01:00PM ET",4.000,"Hou"
"WR","Greg Jennings",3000,"NYJ@Mia 09:30AM ET",2.950,"Mia"
